Car_Company,Car_Model,Car_Variant,Registered_Month,Car_Resale_Price(Lakh),Car_Engine_Capacity(CC),Car_Kilometer_Driven(kms),Car_Max_Power(bhp),Car_Mileage(kmpl),Car_Model_Year,insurance,transmission_type,owner_type,fuel_type,seats,body_type,city
Toyota,Etios,V,,2.5,1496.0,70.0,,17.0,2011,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Renault,KWID,RXL,,1.85,799.0,60.0,53.0,25.0,2016,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Grand,i10,,3.0,1197.0,70.0,82.0,18.0,2014,Third Party insurance,Manual,Third Owner,Petrol,5.0,Hatchback,Agra
Chevrolet,Spark,1.0,,,995.0,60.0,62.0,18.0,2009,Third Party insurance,Manual,Third Owner,Petrol,5.0,Hatchback,Agra
Chevrolet,Spark,1.0,,,995.0,60.0,62.0,18.0,2009,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Hyundai,Grand,i10,,2.5,1120.0,1.0,70.0,24.0,2013,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Maruti,SX4,ZXI,,1.9,1586.0,1.0,103.0,15.0,2012,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Swift,Dzire,,6.5,1197.0,40.0,81.0,21.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Mahindra,Scorpio,VLX,,5.0,2179.0,80.0,120.0,15.0,2013,Third Party insurance,Manual,First Owner,Diesel,8.0,SUV,Agra
Honda,Amaze,E,,1.9,1498.0,1.0,98.0,25.0,2013,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Maruti,Baleno,1.2,,5.7,1197.0,80.0,83.0,21.0,2019,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,Dzire,,3.5,1248.0,80.0,74.0,23.0,2014,Third Party insurance,Manual,Second Owner,Diesel,5.0,Sedan,Agra
Honda,City,i,,3.8,1498.0,1.0,98.0,26.0,2014,Third Party insurance,Manual,Fourth Owner,Diesel,5.0,Sedan,Agra
Maruti,Vitara,Brezza,,7.8,1248.0,1.0,88.0,24.0,2019,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Renault,KWID,STD,,2.4,799.0,20.0,53.0,25.0,2018,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Tata,Nexon,XM,,8.4,1199.0,10.0,118.0,17.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Ford,Ecosport,1.5,,2.5,1498.0,1.0,89.0,22.0,2013,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Maruti,Swift,VDI,,4.0,1248.0,1.0,74.0,25.0,2014,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Maruti,Wagon,R,,1.5,1061.0,80.0,67.0,18.0,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Tata,Indica,Aqua,,1.0,1248.0,70.0,75.0,18.0,2009,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Mahindra,XUV500,W7,,12.75,2179.0,50.0,152.0,15.0,2020,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Datsun,GO,Plus,,2.7,1198.0,30.0,67.0,19.0,2015,Third Party insurance,Manual,Second Owner,Petrol,7.0,MUV,Agra
Mahindra,XUV500,W7,,12.75,2179.0,50.0,152.0,15.0,2020,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Chevrolet,Beat,Diesel,,2.2,936.0,70.0,57.0,25.0,2012,Third Party insurance,Manual,Second Owner,Diesel,5.0,Hatchback,Agra
Ford,Aspire,1.5,,6.0,1498.0,50.0,99.0,25.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Mahindra,XUV500,W4,,9.0,2179.0,50.0,140.0,16.0,2016,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Maruti,Wagon,R,,4.95,1197.0,20.0,81.0,20.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Mahindra,XUV300,W8,,9.8,1197.0,60.0,108.0,16.0,2022,Third Party insurance,Automatic,First Owner,Petrol,5.0,SUV,Agra
Kia,Seltos,GTX,,13.75,1353.0,20.0,138.0,16.0,2019,Third Party insurance,Automatic,First Owner,Petrol,5.0,SUV,Agra
Maruti,Wagon,R,,3.4,998.0,40.0,67.0,20.0,2015,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
MG,Hector,Sharp,,13.0,1451.0,40.0,141.0,13.0,2020,Third Party insurance,Automatic,Second Owner,Petrol,5.0,SUV,Agra
Tata,Nexon,1.2,,6.0,1198.0,70.0,108.0,17.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Honda,Brio,V,,3.0,1198.0,60.0,86.0,19.0,2012,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Renault,Fluence,Diesel,,5.0,1461.0,1.0,78.0,21.0,2013,Third Party insurance,Manual,Second Owner,Diesel,5.0,Sedan,Agra
Toyota,Yaris,G,,10.99,1496.0,40.0,105.0,17.0,2020,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Honda,City,1.5,,3.5,1497.0,90.0,118.0,17.0,2011,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Renault,Triber,RXL,,4.35,999.0,20.0,72.0,20.0,2019,Third Party insurance,Manual,First Owner,Petrol,7.0,MUV,Agra
Maruti,Wagon,R,,1.86,998.0,1.0,67.0,18.0,2012,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Eeco,CNG,,6.25,1196.0,20.0,61.0,20.0,2022,Third Party insurance,Manual,First Owner,CNG,5.0,Minivans,Agra
Maruti,Eeco,CNG,,6.25,1196.0,20.0,61.0,20.0,2022,Third Party insurance,Manual,First Owner,CNG,5.0,Minivans,Agra
Renault,Duster,110PS,,4.5,1461.0,1.0,108.0,19.0,2012,Third Party insurance,Manual,Second Owner,Diesel,5.0,SUV,Agra
Hyundai,i20,1.4,,6.5,1396.0,80.0,88.0,22.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Maruti,Wagon,R,,3.5,998.0,1.0,58.0,26.0,2018,Third Party insurance,Manual,First Owner,CNG,5.0,Hatchback,Agra
Hyundai,i10,Magna,,1.3,1197.0,50.0,78.0,20.0,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,VDI,,5.0,1248.0,70.0,74.0,25.0,2017,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
Mahindra,Bolero,B6,,9.5,1493.0,10.0,74.0,16.0,2021,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Hyundai,Creta,1.6,,7.0,1582.0,1.0,126.0,19.0,2017,Third Party insurance,Manual,Third Owner,Diesel,5.0,SUV,Agra
Ford,Fiesta,1.4,,1.4,1399.0,1.0,68.0,17.0,2009,Third Party insurance,Manual,Third Owner,Diesel,5.0,Sedan,Agra
Tata,New,Safari,,2.0,2179.0,1.0,138.0,11.0,2010,Third Party insurance,Manual,First Owner,Diesel,7.0,SUV,Agra
Renault,KWID,Climber,,3.2,999.0,20.0,67.0,24.0,2018,Third Party insurance,Automatic,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i10,Magna,,2.0,1197.0,40.0,78.0,20.0,2011,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i20,Magna,,4.1,1197.0,90.0,81.0,18.0,2015,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,Swift,VXI,,4.4,1197.0,30.0,81.0,21.0,2016,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Jeep,Compass,Model,,25.0,1368.0,20.0,160.0,14.0,2022,Third Party insurance,Automatic,First Owner,Petrol,5.0,SUV,Agra
Maruti,Swift,Dzire,,6.5,1197.0,40.0,81.0,21.0,2019,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Toyota,Glanza,G,,6.3,1197.0,30.0,81.0,21.0,2020,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Toyota,Etios,GD,,2.0,1364.0,1.0,,23.0,2012,Third Party insurance,Manual,Fourth Owner,Diesel,5.0,Sedan,Agra
Maruti,Eeco,7,,3.5,1196.0,1.0,73.0,15.0,2018,Third Party insurance,Manual,Second Owner,Petrol,7.0,Minivans,Agra
Honda,Amaze,S,,4.0,1498.0,1.0,98.0,27.0,2016,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Chevrolet,Beat,LT,,1.5,1199.0,90.0,79.0,18.0,2011,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Honda,Amaze,E,,4.25,1498.0,1.0,98.0,27.0,2016,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Maruti,Swift,Dzire,,4.25,1248.0,80.0,74.0,26.0,2016,Third Party insurance,Manual,Second Owner,Diesel,5.0,Sedan,Agra
Maruti,Swift,Dzire,,4.0,1197.0,70.0,83.0,20.0,2017,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Maruti,Swift,VXI,,4.6,1197.0,30.0,81.0,21.0,2016,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Mahindra,KUV,100,,3.3,1198.0,70.0,77.0,25.0,2017,Third Party insurance,Manual,First Owner,Diesel,6.0,SUV,Agra
Nissan,Magnite,XE,,4.7,999.0,30.0,71.0,18.0,2021,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Hyundai,Creta,1.6,,11.5,1582.0,70.0,126.0,17.0,2018,Third Party insurance,Automatic,Second Owner,Diesel,5.0,SUV,Agra
Maruti,Ciaz,Delta,,7.25,1462.0,60.0,103.0,20.0,2020,Third Party insurance,Manual,Second Owner,Petrol,5.0,Sedan,Agra
Hyundai,i20,Active,,4.0,1396.0,80.0,88.0,21.0,2015,Third Party insurance,Manual,Third Owner,Diesel,5.0,Hatchback,Agra
Hyundai,Grand,i10,,2.5,1120.0,1.0,70.0,24.0,2013,Third Party insurance,Manual,First Owner,Diesel,5.0,Hatchback,Agra
MG,Astor,Sharp,,14.5,1498.0,40.0,108.0,15.0,2022,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Hyundai,i20,Sportz,,6.9,1197.0,40.0,81.0,18.0,2020,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i20,Asta,,3.5,1197.0,1.0,81.0,18.0,2015,Third Party insurance,Manual,Fourth Owner,Petrol,5.0,Hatchback,Agra
Maruti,Celerio,Tour,,3.42,998.0,1.0,,,2020,Third Party insurance,Manual,First Owner,CNG,5.0,Hatchback,Agra
Hyundai,i20,Asta,,3.5,1197.0,1.0,81.0,18.0,2015,Third Party insurance,Manual,Fourth Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i20,Active,,4.0,1396.0,80.0,88.0,21.0,2015,Third Party insurance,Manual,Third Owner,Diesel,5.0,Hatchback,Agra
Maruti,Ertiga,ZDI,,4.25,1248.0,80.0,88.0,20.0,2013,Third Party insurance,Manual,Third Owner,Diesel,7.0,MUV,Agra
Audi,Q3,2.0,,11.0,1968.0,80.0,174.0,15.0,2014,Third Party insurance,Automatic,Second Owner,Diesel,5.0,SUV,Agra
Tata,Punch,Pure,,6.0,1199.0,10.0,86.0,20.0,2022,Third Party insurance,Manual,First Owner,Petrol,5.0,SUV,Agra
Hyundai,i20,Magna,,1.5,1197.0,1.0,80.0,18.0,2009,Third Party insurance,Manual,Third Owner,Petrol,5.0,Hatchback,Agra
Honda,CR-V,2.4,,1.7,2354.0,1.0,152.0,10.0,2004,Third Party insurance,Automatic,Second Owner,Petrol,5.0,SUV,Agra
Maruti,Wagon,R,,1.6,998.0,70.0,58.0,26.0,2011,Third Party insurance,Manual,Fourth Owner,CNG,5.0,Hatchback,Agra
Hyundai,i20,Magna,,1.4,1197.0,1.0,80.0,18.0,2009,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Skoda,Fabia,1.2,,1.4,1199.0,90.0,75.0,20.0,2011,Third Party insurance,Manual,Third Owner,Diesel,5.0,Hatchback,Agra
Mahindra,Thar,LX,,15.0,2184.0,50.0,130.0,15.0,2021,Third Party insurance,Manual,Second Owner,Diesel,4.0,SUV,Agra
Maruti,Wagon,R,,2.25,998.0,60.0,67.0,18.0,2011,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Hyundai,i20,Petrol,,5.5,1197.0,40.0,81.0,18.0,2019,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
Maruti,A-Star,Vxi,,1.4,998.0,60.0,66.0,19.0,2009,Third Party insurance,Manual,First Owner,Petrol,5.0,Hatchback,Agra
Maruti,Wagon,R,,4.0,998.0,20.0,58.0,26.0,2017,Third Party insurance,Manual,First Owner,CNG,5.0,Hatchback,Agra
Hyundai,Verna,CRDi,,9.0,1582.0,90.0,126.0,22.0,2018,Third Party insurance,Manual,First Owner,Diesel,5.0,Sedan,Agra
Honda,City,1.5,,3.15,1497.0,80.0,118.0,17.0,2010,Third Party insurance,Manual,First Owner,Petrol,5.0,Sedan,Agra
Ford,Ecosport,1.5,,3.5,1498.0,1.0,89.0,22.0,2013,Third Party insurance,Manual,First Owner,Diesel,5.0,SUV,Agra
Hyundai,EON,D,,1.4,814.0,1.0,55.0,21.0,2013,Third Party insurance,Manual,Second Owner,Petrol,5.0,Hatchback,Agra
